A00001,A Figure Bowing before a Seated Old Man with his Arm Outstretched in Benediction. Verso: Indecipherable Sketch,"Watercolour, ink, chalk and graphite on paper. Verso: graphite on paper",,,"arm/arms raised, kneeling, sitting, man, man, old, blessing",date not known
,,,,,,
A01308,title not known,Ink and graphite on paper,,,"embracing, girl, sitting, woman",date not known
,,,,,,
A01309,title not known,Ink on paper,,,"hat, head / face, man",date not known
,,,,,,
A01310,title not known,Ink on paper,,,"basket, bench, market, trader, woman",date not known
,,,,,,
A01311,title not known,Ink and watercolour on paper,,,"carriage, sitting, woman",date not known
,,,,,,
A01312,title not known,Ink and graphite on paper,,,"boy, group, man, woman, reclining, sitting",date not known
,,,,,,
A01313,title not known,Ink and watercolour on paper,,,"sitting, supporting, woman, umbrella",date not known
,,,,,,
A01314,title not known,Ink and graphite on paper,,,"man, sitting",date not known
,,,,,,
A01315,title not known,Ink on paper,,,"boat, sailing",date not known
,,,,,,
A01316,title not known,Ink and graphite on paper,,,"boat, sailing",date not known
,,,,,,
A01317,title not known,"Ink, graphite and gouache on paper",,,"basket, standing, woman",date not known
,,,,,,
A01318,title not known,Ink and graphite on paper,,,"back, man, standing",date not known
,,,,,,
A01319,title not known,Ink on paper,,,"cloak, man, standing",date not known
,,,,,,
A01320,title not known,Ink on paper,,,"apron, headdress, ""artists notes"", standing, woman",date not known
,,,,,,
A01321,title not known,Ink on paper,,,"bucket, man, sitting",date not known
,,,,,,
A01322,title not known,Ink on paper,,,"castle, child, standing, woman, hill",date not known
,,,,,,
A01323,title not known,Ink on paper,,,"embracing, holding hands, sitting, woman",date not known
,,,,,,
A01324,title not known,Watercolour and graphite on paper,,,"child, figure, group, standing, table",date not known
,,,,,,
A01325,title not known,Graphite on paper,,,"cloak, hand/hands raised, woman",date not known
,,,,,,
A01326,title not known,"Watercolour, ink and graphite on paper",,,"back, man, woman, sitting, standing, dress",date not known
,,,,,,
A01327,title not known,Ink and graphite on paper,,,"basket, group, man, woman, sitting, standing",date not known
,,,,,,
A01328,title not known,Graphite on paper,,,"boy, man, sitting, tub",date not known
,,,,,,
A01329,title not known,Ink and graphite on paper,,,"""artists notes"", dress, standing, woman",date not known
,,,,,,
A01330,title not known,Ink on paper,,,"carrying, child, sitting, standing, woman, headdress, staff",date not known
,,,,,,
A01331,title not known,Ink and graphite on paper,,,"carrying, standing, woman, headdress",date not known
,,,,,,
A01332,title not known,Ink on paper,,,"basket, carrying, walking, woman",date not known
,,,,,,
A01333,title not known,Ink and graphite on paper,,,"""artists notes"", hat, man, standing, soldier",date not known
,,,,,,
A01334,title not known,Ink on paper,,,"basket, carrying, walking, woman",date not known
,,,,,,
A01335,title not known,Ink and graphite on paper,,,"broom, man, sweeping",date not known
,,,,,,
A01336,title not known,Ink on paper,,,"hat, bonnet, standing, woman",date not known
,,,,,,
A01337,title not known,Ink and graphite on paper,,,"bag, standing, woman",date not known
,,,,,,
A01338,title not known,Ink on paper,,,"basket, carriage, carrying, woman, dog - non-specific, horse",date not known
,,,,,,
A01339,title not known,Ink and watercolour on paper,,,"back, man, standing, reading",date not known
,,,,,,
A01340,title not known,Graphite and ink on paper,,,"boat, rowing, figure, group",date not known
,,,,,,
A01341,title not known,Ink and graphite on paper,,,"head in hand/hands, reclining, man",date not known
,,,,,,
A01342,title not known,Watercolour on paper,,,"carrying, standing, woman",date not known
,,,,,,
A01343,title not known,Ink on paper,,,"child, holding hands, looking down, walking, woman",date not known
,,,,,,
A01344,title not known,Ink and graphite on paper,,,"carriage, carrying, child, group, man, woman, ox",date not known
,,,,,,
A01345,title not known,Ink and graphite on paper,,,"arm/arms raised, legs crossed, sitting, male, man",date not known
,,,,,,
A01346,title not known,"Ink, graphite and watercolour on paper",,,"cloak, cross, man, sitting, pilgrimage, pilgrimage - shell, shell",date not known
,,,,,,
A01347,title not known,Ink on paper,,,"cross, rosary, staff, group, kneeling, woman, pilgrimage",date not known
,,,,,,
A01348,title not known,Ink on paper,,,"back, carrying, child, man, woman, walking, bundle",date not known
,,,,,,
A01349,title not known,Ink on paper,,,"basket, umbrella, man, woman, standing",date not known
,,,,,,
A01350,title not known,Ink and watercolour on paper,,,"arch, clergyman, kneeling, sitting, man, talking",date not known
,,,,,,
A01351,title not known,"Watercolour, gouache and ink on paper",,,"headdress, sitting, standing, woman",date not known
,,,,,,
A01352,title not known,Ink and watercolour on paper,,,"child, sitting, woman",date not known
,,,,,,
A01353,title not known,Ink and graphite on paper,,,"child, sitting, woman, dog - non-specific, stair / step",date not known
,,,,,,
A01354,title not known,Ink on paper,,,"basket, plough, whip, cart, ox, ploughing",date not known
,,,,,,
A01355,title not known,Ink on paper,,,"basket, donkey, pack animal, standing, woman",date not known
,,,,,,
A01356,title not known,Watercolour on paper,,,"back, standing, woman, dress, ribbon",date not known
,,,,,,
A01357,title not known,Ink on paper,,,"man, standing, soldier",date not known
,,,,,,
A01358,title not known,Graphite on paper,,,"back, sitting, woman",date not known
,,,,,,
A01359,title not known,Ink and graphite on paper,,,"barrel, basket, bending forward, kneeling, woman",date not known
,,,,,,
A01360,title not known,Watercolour and graphite on paper,,,"France, River Rhône, boat, sailing, figure, fishing net, river",date not known
,,,,,,
A01361,title not known,Ink and graphite on paper,,,"back, carrying, child, standing, woman",date not known
,,,,,,
A01362,title not known,Ink on paper,,,"cart, ox, woman",date not known
,,,,,,
A01363,title not known,Ink and graphite on paper,,,"sitting, woman",date not known
,,,,,,
A01364,title not known,Ink on paper,,,"back, man, sitting, chair, table",date not known
,,,,,,
A01365,title not known,Ink and graphite on paper,,,"baby, carrying, standing, woman",date not known
,,,,,,
A01366,title not known,Ink on paper,,,"gun, rifle, hat, man, standing, soldier",date not known
,,,,,,
A01367,title not known,Ink on paper,,,"arm/arms raised, standing, man",date not known
,,,,,,
A01368,title not known,Ink and graphite on paper,,,"back, man, standing, soldier",date not known
,,,,,,
A01369,title not known,Watercolour and graphite on paper,,,"hat, cap, man, standing",date not known
,,,,,,
A01370,title not known,Watercolour and graphite on paper,,,"man, standing, pipe, uniform / kit, smoking",date not known
,,,,,,
A01371,title not known,Ink on paper,,,"child, group, kneeling, sitting, man, woman, mule, pack animal, riding",date not known
,,,,,,
A01372,title not known,Graphite and watercolour on paper,,,"sea, ship, sailing, ship, steam",date not known
,,,,,,
A01373,title not known,Watercolour and graphite on paper,,,"carrying, standing, woman",date not known
,,,,,,
A01374,title not known,Ink and graphite on paper,,,"male, man, sitting",date not known
,,,,,,
A01375,title not known,Ink and graphite on paper,,,"Italian, family, child, comforting, man, woman, sitting, standing",date not known
,,,,,,
A01376,title not known,Ink on paper,,,"figure, head / face",date not known
,,,,,,
A01377,title not known,Ink and graphite on paper,,,"hat, pipe, man, standing, smoking",date not known
,,,,,,
A01378,title not known,Ink on paper,,,"Italian, man, standing, soldier, sword, uniform / kit",date not known
,,,,,,
A01379,title not known,Watercolour and ink on paper,,,"boy, man, carriage",date not known
,,,,,,
A01380,title not known,Ink on paper,,,"basket, bundle, hat, carrying, man, woman, walking",date not known
,,,,,,
A01381,title not known,Ink and watercolour on paper,,,"bundle, carriage, carrying, figure, dog - non-specific",date not known
,,,,,,
A01382,title not known,Ink on paper,,,"Italian, hat, man, sitting, standing",date not known
,,,,,,
A01383,title not known,Ink and graphite on paper,,,"child, group, man, woman",date not known
,,,,,,
A01384,title not known,Ink and graphite on paper,,,"child, group, sitting, standing, woman, hat",date not known
,,,,,,
A01385,title not known,Ink and gouache on paper,,,"boat, sailing, man",date not known
,,,,,,
A01386,title not known,Ink and graphite on paper,,,"man, reclining",date not known
,,,,,,
A01387,title not known,Ink and graphite on paper,,,"hat, bonnet, knitting, standing, woman",date not known
,,,,,,
A01388,title not known,Ink and graphite on paper,,,"baby, comforting, sitting, woman, basket",date not known
,,,,,,
A01389,title not known,Ink and watercolour on paper,,,"basket, jug, man, reclining, sleeping, stair / step",date not known
,,,,,,
A01390,title not known,Ink and graphite on paper,,,"hat, sword, man, standing, soldier",date not known
,,,,,,
A01391,title not known,"Ink, graphite and watercolour on paper",,,"hand/hands on hip, standing, man, tub",date not known
,,,,,,
A01392,title not known,"Ink, graphite and watercolour on paper",,,"basket, hat, bonnet, hat, cap, couple, man, woman, standing",date not known
,,,,,,
A01393,title not known,Ink on paper,,,"digging, man, spade",date not known
,,,,,,
A01394,title not known,Ink and graphite on paper,,,"child, embracing, woman, hat, cap",date not known
,,,,,,
A01395,title not known,Ink and graphite on paper,,,"hat, cap, staff, wheelbarrow, standing, woman",date not known
,,,,,,
A01396,title not known,"Ink, graphite and watercolour on paper",,,"head in hand/hands, leg/legs raised, sitting, man",date not known
,,,,,,
A01397,title not known,Ink on paper,,,"drawing water, pulling, woman, trunk, well",date not known
,,,,,,
A01398,title not known,Ink and watercolour on paper,,,"basket, chair, hat, bonnet, girl, kneeling, sitting, woman",date not known
,,,,,,
A01399,title not known,Ink on paper,,,"child, sitting, woman",date not known
,,,,,,
A01400,title not known,"Watercolour, ink and graphite on paper",,,"lying down, man",date not known
,,,,,,
A01401,title not known,"Ink, graphite, watercolour and gouache on paper",,,"hat, cap, man, talking",date not known
,,,,,,
A01402,title not known,Ink and graphite on paper,,,"hand/hands on hip, leg/legs raised, standing, looking / watching, man, sea, ship, sailing",date not known
,,,,,,
A01403,title not known,"Ink, graphite and watercolour on paper",,,"boat, rowing, hat, man, sitting, standing",date not known
,,,,,,
A01404,title not known,Ink on paper,,,"baby, carrying, woman",date not known
,,,,,,
A01405,title not known,Ink on paper,,,"baby, group, sitting, standing, woman, boat, gondola",date not known
,,,,,,
A01406,title not known,Ink and graphite on paper,,,"boat, sailing, figure",date not known
,,,,,,
A01407,title not known,"Ink, graphite and watercolour on paper",,,"head in hand/hands, standing, man",date not known
,,,,,,
A01408,title not known,Ink and graphite on paper. Verso: graphite on paper,,,"flag - non-specific, man, standing, soldier",date not known
,,,,,,
A01409,title not known,Ink on paper,,,"hat, man, sitting",date not known
,,,,,,
A01410,title not known,Ink and watercolour on paper,,,"head in hand/hands, legs crossed, sitting, man",date not known
,,,,,,
A01411,title not known,Ink on paper,,,"basket, walking, woman",date not known
,,,,,,
A01412,title not known,Ink and watercolour on paper,,,"head in hand/hands, sitting, standing, man",date not known
,,,,,,
A01413,title not known,Graphite on paper,,,"boat, sailing",date not known
,,,,,,
A01414,title not known,"Watercolour, ink and graphite on paper",,,"arch, window, building - non-specific, woman",date not known
,,,,,,
A01415,title not known,Ink and graphite on paper,,,"man, sitting",date not known
,,,,,,
A01416,title not known,Watercolour and ink on paper,,,"head in hand/hands, reclining, woman",date not known
,,,,,,
A01417,title not known,Ink on paper,,,"book - non-specific, man, writing",date not known
,,,,,,
A01418,title not known,Ink on paper,,,"figure, figure, head in hand/hands, sitting",date not known
,,,,,,
A01419,title not known,Ink and graphite on paper,,,"boat, sailing, figure",date not known
,,,,,,
A01420,title not known,Ink and graphite on paper,,,"group, man, sitting, talking, wheelbarrow",date not known
,,,,,,
A01421,title not known,Ink and watercolour on paper,,,"cart, girl, man, woman, standing",date not known
,,,,,,
A01422,title not known,Ink and watercolour on paper,,,"cart, child, group, man, woman, standing",date not known
,,,,,,
A01423,title not known,Ink and graphite on paper,,,"standing, woman",date not known
,,,,,,
A01424,title not known,Ink and watercolour on paper,,,"basket, wheelbarrow",date not known
,,,,,,
A01425,title not known,Ink on paper,,,"head / face, man, reading",date not known
,,,,,,
A01426,title not known,Ink on paper,,,"figure, figure, head in hand/hands, sitting",date not known
,,,,,,
A01427,title not known,Ink on paper,,,"donkey, man, reclining, tub",date not known
,,,,,,
A01428,title not known,Ink on paper,,,"group, sitting, woman",date not known
,,,,,,
A01429,title not known,Ink and watercolour on paper,,,"building - non-specific, group, man, woman, sitting, standing, hat, staff, rocky",date not known
,,,,,,
A01430,title not known,Ink on paper,,,"basket, crowd, man, woman, sitting, standing",date not known
,,,,,,
A01431,title not known,"Ink, watercolour and graphite on paper",,,"basket, jug, parasol, market, sitting, standing, woman, trader",date not known
,,,,,,
A01432,title not known,"Ink, watercolour and graphite on paper",,,"hat, staff, man, woman, sitting, walking, riding",date not known
,,,,,,
A01433,title not known,Ink and watercolour on paper,,,"baby, man, woman, standing, talking, coachman, hat, uniform / kit, rake",date not known
,,,,,,
A01434,title not known,Ink on paper,,,"basket, rake, child, man, woman, reclining, sitting, horse",date not known
,,,,,,
A01435,title not known,Ink on paper,,,"bag, hat, leg/legs raised, sitting, man",date not known
,,,,,,
A01436,title not known,Ink and watercolour on paper,,,"cart, child, embracing, man, woman, sitting, standing, ox, spade, tenderness",date not known
,,,,,,
A01437,title not known,Ink and graphite on paper,,,"barrel, tub, cart, man, ox",date not known
,,,,,,
A01438,title not known,"Ink, watercolour and graphite on paper",,,"hat, cap, staff, uniform / kit, man, standing, soldier",date not known
,,,,,,
A01439,title not known,"Ink, watercolour and graphite on paper",,,"cart, sack, sitting, woman, statue",date not known
,,,,,,
A01440,title not known,Ink and graphite on paper,,,"back, standing, woman",date not known
,,,,,,
A01441,title not known,"Ink, watercolour and graphite on paper",,,"basket, hat, child, man, woman, friar / monk",date not known
,,,,,,
A01442,title not known,"Ink, watercolour and graphite on paper",,,"carriage, cow, horse, hat, bonnet, kneeling, standing, woman, milkmaid",date not known
,,,,,,
A01443,title not known,"Ink, watercolour and graphite on paper",,,"head in hand/hands, sitting, woman",date not known
,,,,,,
A01444,title not known,Ink and graphite on paper,,,"man, standing",date not known
,,,,,,
A01445,title not known,Ink and graphite on paper,,,"baby, carrying, figure, cloak, hat, bonnet",date not known
,,,,,,
A01446,title not known,Ink on paper,,,"man, sitting, supporting",date not known
,,,,,,
A01447,title not known,Ink on paper,,,"basket, sitting, woman",date not known
,,,,,,
A01448,title not known,Ink and graphite on paper,,,"cart, horse, man",date not known
,,,,,,
A01449,title not known,Watercolour on paper,,,"apron, hat, bonnet, basket, standing, woman",date not known
,,,,,,
A01450,title not known,Ink on paper,,,"back, standing, woman",date not known
,,,,,,
A01451,title not known,Ink and watercolour on paper,,,"shawl, standing, woman",date not known
,,,,,,
A01452,title not known,Ink on paper,,,"group, man, standing",date not known
,,,,,,
A01453,title not known,Graphite on paper,,,"armour, ""artists notes"", dragon, knight, man",date not known
,,,,,,
A01454,title not known,Ink and watercolour on paper,,,"bag, hat, bonnet, parasol, cart, girl, man, woman, sitting, standing",date not known
,,,,,,
A01455,title not known,Graphite and watercolour on paper,,,"bucket, yoke, standing, woman",date not known
,,,,,,
A01456,title not known,"Graphite, watercolour and ink on paper",,,"hat, head in hand/hands, standing, man",date not known
,,,,,,
A01457,title not known,"Graphite, watercolour and ink on paper",,,"basket, hat, umbrella, carrying, standing, woman",date not known
,,,,,,
A01458,title not known,Ink and watercolour on paper,,,"carriage, sitting, woman",date not known
,,,,,,
A01459,title not known,Watercolour and ink on paper,,,"baby, boy, pulling, playing, pram",date not known
,,,,,,
A01460,title not known,Ink on paper,,,"book - non-specific, man, reading",date not known
,,,,,,
A01461,title not known,Ink and graphite on paper,,,"sitting, woman",date not known
,,,,,,
A01462,title not known,Ink on paper,,,"hat, bonnet, reclining, woman",date not known
,,,,,,
A01463,title not known,Graphite and gouache on paper,,,"boat, sailing",date not known
,,,,,,
A01464,title not known,Graphite on paper,,,"man, sitting",date not known
,,,,,,
A01465,title not known,Ink and graphite on paper,,,"group, man, pulling",date not known
,,,,,,
A01466,title not known,"Watercolour, ink and graphite on paper",,,"apron, hat, back, man, standing",date not known
,,,,,,
A01467,title not known,Watercolour on paper,,,"dress, hat, standing, woman",date not known
,,,,,,
A01468,title not known,Watercolour on paper,,,"apron, umbrella, basket, walking, woman",date not known
,,,,,,
A01469,title not known,Ink and graphite on paper,,,"legs crossed, sitting, man",date not known
,,,,,,
A01470,title not known,Ink on paper,,,"book - non-specific, head in hand/hands, legs crossed, sitting, man, reading",date not known
,,,,,,
A01471,title not known,Ink on paper,,,"baby, standing, woman, hat, bonnet",date not known
,,,,,,
A01472,title not known,Ink on paper,,,"legs crossed, sitting, man, reading",date not known
,,,,,,
A01473,title not known,"Watercolour, ink and graphite on paper",,,cart,date not known
,,,,,,
A01474,title not known,Watercolour and ink on paper,,,carriage,date not known
,,,,,,
A01475,title not known,Watercolour and ink on paper,,,"Italy, arm/arms raised, walking, woman, headdress",date not known
,,,,,,
A01476,title not known,Ink and graphite on paper,,,"horse, riding, woman",date not known
,,,,,,
A01477,title not known,"Ink, watercolour and graphite on paper",,,"boat, sailing, figure",date not known
,,,,,,
A01478,title not known,Ink on paper,,,"embracing, girl, man, sitting",date not known
,,,,,,
A01479,title not known,Ink on paper,,,"book - non-specific, legs crossed, sitting, man, reading",date not known
,,,,,,
A01480,title not known,Ink on paper,,,"horse, man, riding",date not known
,,,,,,
A01481,title not known,Ink on paper,,,"man, standing, spade",date not known
,,,,,,
A01482,title not known,Ink on paper,,,"boy, standing, talking, woman, shawl",date not known
,,,,,,
A01483,title not known,Ink on paper,,,"hat, bonnet, jug, wheelbarrow, standing, woman",date not known
,,,,,,
A01484,title not known,Ink and graphite on paper,,,"crouching, figure",date not known
,,,,,,
A01485,title not known,Ink on paper,,,"Italian, basket, hat, cap, man, sitting, trader",date not known
,,,,,,
A01486,title not known,Ink and graphite on paper,,,"carrying, child, standing, woman, mother and child",date not known
,,,,,,
A01487,title not known,Ink on paper,,,"carrying, child, walking, woman, mother and child",date not known
,,,,,,
A01488,title not known,Ink on paper,,,"cloak, hat, headscarf, staff, man, woman, standing",date not known
,,,,,,
A01489,title not known,Watercolour and ink on paper,,,"machinery, sitting, woman, trader",date not known
,,,,,,
A01490,title not known,Ink on paper,,,"barrel, cart, donkey, man, walking",date not known
,,,,,,
A01491,title not known,Watercolour and graphite on paper,,,"parasol, sitting, woman",date not known
,,,,,,
A01492,title not known,Watercolour and graphite on paper,,,"Italy, headscarf, kneeling, woman",date not known
,,,,,,
A01493,title not known,Ink and graphite on paper,,,"embracing, man, woman",date not known
,,,,,,
A01494,title not known,"Ink, graphite and watercolour on paper",,,"donkey, man, standing, pack animal, staff",date not known
,,,,,,
A01495,title not known,Ink and watercolour on paper,,,"door, shop, shopkeeper, woman",date not known
,,,,,,
A01496,title not known,Ink and graphite on paper,,,"basket, headscarf, sitting, woman",date not known
,,,,,,
A01497,title not known,Ink on paper,,,"carrying, child, standing, woman",date not known
,,,,,,
A01498,title not known,Ink on paper,,,"man, sitting, talking",date not known
,,,,,,
A01499,title not known,Ink on paper,,,"cane, hand/hands on hip, standing, man",date not known
,,,,,,
A01500,title not known,Ink and graphite on paper,,,"back, looking / watching, man, standing, soldier, sword, uniform / kit",date not known
,,,,,,
A01501,title not known,Ink and graphite on paper,,,"figure, lying down, sleeping",date not known
,,,,,,
A01502,title not known,Ink on paper,,,"barrel, bending forward, standing, man, pushing, horse",date not known
,,,,,,
A01503,title not known,"Graphite, ink, watercolour and gouache on paper",,,"bending forward, man, sweeping",date not known
,,,,,,
A01504,title not known,Ink on paper,,,"boat, rowing, figure, lying down, sitting",date not known
,,,,,,
A01505,title not known,Ink and graphite on paper,,,"figure, holding hands, sitting",date not known
,,,,,,
A01506,title not known,"Ink, graphite and watercolour on paper",,,"fighting, man, wrestling",date not known
,,,,,,
A01507,title not known,Ink on paper,,,"book - non-specific, reading, sitting, woman",date not known
,,,,,,
A01508,title not known,Watercolour and ink on paper,,,"boat, sailing, figure",date not known
,,,,,,
A01509,title not known,Ink and graphite on paper,,,"crouching, man, hat",date not known
,,,,,,
A01510,title not known,Ink on paper,,,"boat, punt, man",date not known
,,,,,,
A01511,title not known,Ink on paper,,,"chair, hat, head in hand/hands, sitting, man, sleeping",date not known
,,,,,,
A01512,title not known,Watercolour and graphite on paper. Verso: graphite on paper,,,"Italy, back, carrying, standing, woman, bucket, headscarf",date not known
,,,,,,
A01513,title not known,Graphite on paper,,,"hat, man, sitting",date not known
,,,,,,
A01514,title not known,Ink on paper,,,"carpenter, man, pushing, saw, wood",date not known
,,,,,,
A01515,title not known,Ink and graphite on paper,,,"cart, cow, feeding, hay",date not known
,,,,,,
A01516,title not known,Watercolour and graphite on paper,,,"hat, pipe, man, standing, smoking",date not known
,,,,,,
A01517,title not known,Watercolour and graphite on paper,,,"back, carrying, standing, woman, basket",date not known
,,,,,,
A01518,title not known,Watercolour and graphite on paper,,,"basket, hat, carrying, walking, woman",date not known
,,,,,,
A01519,title not known,Graphite on paper,,,"cart, figure, horse",date not known
,,,,,,
A01520,title not known,"Watercolour, graphite and ink on paper",,,"child, man, sitting, dog - non-specific",date not known
,,,,,,
A01521,title not known,"Watercolour, graphite and ink on paper",,,"basket, carrying, walking, woman",date not known
,,,,,,
A01522,title not known,Watercolour and graphite on paper,,,"carrying, child, walking, woman, tray",date not known
,,,,,,
A01523,title not known,"Watercolour, graphite and ink on paper",,,"hat, bonnet, standing, woman",date not known
,,,,,,
A01524,title not known,Ink and graphite on paper,,,"hat, lying down, man, sleeping, stair / step",date not known
,,,,,,
A01525,title not known,Watercolour on paper,,,"standing, woman",date not known
,,,,,,
A01526,title not known,"Watercolour, graphite and ink on paper",,,"boot, hat, instrument, trumpet, man, standing",date not known
,,,,,,
A01527,title not known,Watercolour on paper,,,"bag, hat, carrying, man, standing",date not known
,,,,,,
A01528,title not known,Ink on paper,,,"boat, punt, crouching, standing, man",date not known
,,,,,,
A01529,title not known,Graphite and watercolour on paper,,,"coat, hat, group, man, woman, standing",date not known
,,,,,,
A01530,title not known,Watercolour and ink on paper. Verso: graphite and watercolour on paper,,,"coat, hat, man, walking",date not known
,,,,,,
A01531,title not known,Ink on paper,,,"bottle, bundle, hat, staff, umbrella, carrying, man",date not known
,,,,,,
A01532,title not known,Watercolour and ink on paper,,,"apron, arm/arms raised, standing, back, woman",date not known
,,,,,,
A01533,title not known,Watercolour and graphite on paper,,,"cloak, hat, man, standing",date not known
,,,,,,
A01534,title not known,Watercolour and graphite on paper,,,"beard, man, sitting, hat, robe",date not known
,,,,,,
A01535,title not known,Watercolour and graphite on paper,,,"back, carrying, walking, woman, yoke",date not known
,,,,,,
A01536,title not known,Graphite on paper,,,"arm/arms raised, reclining, man",date not known
,,,,,,
A01537,title not known,Watercolour and ink on paper,,,"farmland, ox, figure, plough, ploughing",date not known
,,,,,,
A01538,title not known,Watercolour and graphite on paper,,,"basket, donkey, pack animal",date not known
,,,,,,
A01539,title not known,Watercolour on paper,,,"dress, hat, bonnet, standing, woman",date not known
,,,,,,
A01540,title not known,"Watercolour, graphite and ink on paper",,,"horse, man, woman, riding",date not known
,,,,,,
A01541,title not known,Watercolour and graphite on paper,,,"baby, carrying, standing, woman, hat, bonnet",date not known
,,,,,,
A01542,title not known,Graphite on paper,,,"baby, child, standing, woman",date not known
,,,,,,
A01543,title not known,Graphite and watercolour on paper,,,"basket, standing, woman",date not known
,,,,,,
A01544,title not known,Watercolour and graphite on paper,,,"dress, headdress, standing, woman",date not known
,,,,,,
A01545,title not known,Graphite on paper,,,"child, sitting, supporting, woman",date not known
,,,,,,
A01546,title not known,Graphite and watercolour on paper,,,"cart, figure, ox",date not known
,,,,,,
A01547,title not known,"Graphite, watercolour and ink on paper",,,"group, man, woman, standing, instrument, cello, instrument, violin, music",date not known
,,,,,,
A01548,title not known,Watercolour and graphite on paper,,,"back, standing, woman, ribbon",date not known
,,,,,,
A01549,title not known,Watercolour and graphite on paper,,,"hat, umbrella, woman",date not known
,,,,,,
A01550,title not known,Watercolour and graphite on paper,,,"beard, head / face, man, hat",date not known
,,,,,,
A01551,title not known,Graphite and watercolour on paper,,,"back, man, standing, basket",date not known
,,,,,,
A01552,title not known,Watercolour and graphite on paper,,,"basket, wheelbarrow",date not known
,,,,,,
A01553,title not known,Ink and watercolour on paper,,,"carrying, child, standing, woman",date not known
,,,,,,
A01554,title not known,Graphite and watercolour on paper,,,"basket, sitting, woman",date not known
,,,,,,
A01555,title not known,Graphite on paper,,,"back, group, woman, basket",date not known
,,,,,,
A01556,title not known,Watercolour and graphite on paper,,,"man, standing, sword, uniform / kit",date not known
,,,,,,
A01557,title not known,Ink and graphite on paper,,,"carriage, horse",date not known
,,,,,,
A01558,title not known,Graphite on paper,,,"head in hand/hands, standing, man, ladder",date not known
,,,,,,
A01559,title not known,Watercolour and graphite on paper,,,"bucket, spade, labourer, man, standing",date not known
,,,,,,
A01560,title not known,Watercolour and graphite on paper,,,"walking, woman",date not known
,,,,,,
A01561,title not known,Graphite and ink on paper,,,"child, sitting, woman",date not known
,,,,,,
A01562,title not known,Watercolour and graphite on paper,,,"apron, standing, woman",date not known
,,,,,,
A01563,title not known,"Ink, graphite and gouache on paper",,,"girl, sitting, woman",date not known
,,,,,,
A01564,title not known,Ink on paper,,,"baby, carrying, standing, woman",date not known
,,,,,,
A01565,title not known,Watercolour and graphite on paper,,,"hand/hands on hip, standing, woman, hat",date not known
,,,,,,
A01566,title not known,Watercolour and graphite on paper,,,"hat, man, woman",date not known
,,,,,,
A01567,title not known,Graphite on paper,,,"basket, carrying, standing, woman",date not known
,,,,,,
A01568,title not known,Watercolour on paper,,,"basket, figure, sitting",date not known
,,,,,,
A01569,title not known,Graphite and watercolour on paper,,,"child, holding hands, sitting, woman",date not known
,,,,,,
A01570,title not known,Watercolour on paper,,,"beard, man, standing, hat, robe",date not known
,,,,,,
A01571,title not known,Ink and watercolour on paper,,,"carriage, horse",date not known
,,,,,,
A01572,title not known,Ink on paper,,,"horse, man, standing, soldier, uniform / kit",date not known
,,,,,,
A01573,title not known,"Watercolour, ink and graphite on paper",,,"bending forward, man",date not known
,,,,,,
A01574,title not known,Graphite on paper. Verso: graphite on paper,,,"interior - non-specific, statue",date not known
,,,,,,
A01575,title not known,"Watercolour, ink and graphite on paper",,,"bending forward, man",date not known
,,,,,,
A01576,title not known,Graphite and watercolour on paper,,,"boat, barge",date not known
,,,,,,
A01577,title not known,"Graphite, watercolour and ink on paper",,,horse,date not known
,,,,,,
A01578,title not known,Graphite on paper. Verso: graphite on paper,,,"instrument, pipe, man, standing, music",date not known
,,,,,,
A01579,title not known,"Watercolour, ink and graphite on paper",,,"bending forward, man, hat, shears, hoof, horse",date not known
,,,,,,
A01580,title not known,Ink on paper,,,"group, sitting, woman",date not known
,,,,,,
A01581,title not known,"Watercolour, ink and graphite on paper",,,"boat - non-specific, man, pulling",date not known
,,,,,,
A01582,title not known,Ink and gouache on paper,,,"girl, holding hands, kneeling, standing, woman, hat, bonnet",date not known
,,,,,,
A01583,title not known,Watercolour on paper,,,"boat, sailing",date not known
,,,,,,
A01584,title not known,Watercolour and ink on paper,,,"ship, sailing",date not known
,,,,,,
A01585,title not known,Ink and graphite on paper,,,"lying down, man",date not known
,,,,,,
A01586,title not known,"Watercolour, graphite and ink on paper",,,"carriage, figure",date not known
,,,,,,
A01587,title not known,Ink and graphite on paper,,,"boy, girl, standing, woman",date not known
,,,,,,
A01588,title not known,Ink on paper,,,"boy, embracing, sitting, standing, woman",date not known
,,,,,,
A01589,title not known,Watercolour and ink on paper,,,"back, carrying, pushing, walking, woman, rake, wheelbarrow, sack",date not known
,,,,,,
A01590,title not known,Ink on paper,,,"harness, horse",date not known
,,,,,,
A01591,title not known,Ink and graphite on paper,,,"man, woman, sitting, standing, wheelbarrow",date not known
,,,,,,
A01592,title not known,Watercolour and graphite on paper,,,"boat, sailing, boatman, figure",date not known
,,,,,,
A01593,title not known,Ink on paper,,,"carrying, child, kneeling, woman, mother and child",date not known
,,,,,,
A01594,title not known,Watercolour on paper,,,"hat, parasol, walking, woman",date not known
,,,,,,
A01595,title not known,Graphite and ink on paper,,,"box, looking down, woman, name of place",date not known
,,,,,,
A01596,title not known,Watercolour and graphite on paper,,,"cart, figure, horse",date not known
,,,,,,
A01597,title not known,Ink and graphite on paper,,,"arm/arms raised, standing, woman",date not known
,,,,,,
